Year,Penang,Watamu
1947,-63.64,-63.75
1948,-63.17,-54.83
1949,-65.31,-61.00
1950,-65.14,-63.50
1951,-68.09,-60.00
1952,-65.69,-64.00
1953,-64.94,-63.00
1954,-62.03,-59.17
1955,-63.38,-52.00
1956,-59.94,-53.33
1957,-59.88,-45.00
1958,-54.28,-36.83
1959,-48.82,-27.67
1960,-37.89,-17.00
1961,-30.89,-4.83
1962,-21.76,21.67
1963,-13.40,42.33
1964,22.29,63.40
1965,51.43,75.50
1966,75.73,89.17
1967,90.40,94.00
1968,101.17,93.83
1969,98.86,88.50
1970,112.91,93.50
1971,112.04,103.00
1972,110.90,106.67
1973,112.06,102.33
1974,110.86,112.83
1975,113.27,104.17
1976,108.04,101.17
1977,99.52,98.67
1978,100.25,104.33
1979,90.08,102.50
1980,99.53,104.33
1981,90.71,102.33
1982,84.78,97.17
1983,89.60,91.83
1984,89.55,93.67
1985,82.29,90.83
1986,84.20,87.00
1987,81.04,80.00