time,latitude,longitude,depth,mag,dmin,depthError,magError,stnDist
2019-11-06T06:20:38.400Z,19.1825,-67.29,10,2.48,1.0272,31.61,0.23,169.3345624
2019-11-06T02:49:12.600Z,18.242,-64.3286,36,3.15,1.5235,31.08,0.43,192.9919132
2019-11-06T01:54:39.050Z,18.8746,-65.0468,29,3.16,1.0862,28.48,0.16,144.1567456
2019-11-06T05:09:50.110Z,18.978,-67.1613,27,2.86,0.513,27.97,0.3,143.8857376
2019-11-06T04:19:49.290Z,19.2273,-67.16,39,2.74,0.7614,24.1,0.14,163.6545605
2019-11-06T13:23:17.191Z,36.4474,69.0593,51.34,4.3,1.341,16.4,0.238,211.9871432
2019-11-06T14:04:05.587Z,12.2273,-88.0567,41.81,4.5,1.114,14.4,0.093,220.4403654
2019-11-05T19:18:58.660Z,-9.5534,121.1628,74.03,4,1.399,12.7,0.196,528.1869052
2019-11-06T06:06:11.281Z,47.6963,152.4179,120.93,4.8,6.382,8.9,0.07,732.0175073
2019-11-06T02:12:42.466Z,16.2973,-97.9346,28.19,4.5,1.396,8.7,0.033,1109.163809
2019-11-06T02:43:52.490Z,18.6361,-64.9961,55,2.67,0.9855,8.28,0.47,135.1384198
2019-11-06T13:16:14.829Z,38.3096,141.8649,38.12,4.1,0.955,8,0.089,378.0489388
2019-11-06T11:49:51.237Z,-20.8504,-178.3899,533.25,4.2,4.563,7.6,0.049,508.4710662
2019-11-06T05:59:50.765Z,16.2108,-97.9736,29.6,5,3.307,7.6,0.027,1116.9818
2019-11-06T02:03:23.170Z,18.1685,-64.5501,94,3.39,1.299,7.06,0.41,169.1889234
2019-11-05T21:01:23.577Z,-21.1895,-68.7274,122.59,4.3,0.724,6.9,0.177,159.4152492
2019-11-06T16:10:55.636Z,-10.7905,166.0552,109.88,5,4.761,6.6,0.08,685.298493
2019-11-06T02:22:23.872Z,25.1063,122.9228,170.75,4.2,0.641,5.8,0.096,144.3912607
2019-11-05T19:29:50.608Z,68.7373,-146.715,13.1,2.8,0.6,5.4,0.036,432.4870274
2019-11-05T20:52:22.717Z,36.5375,70.0911,211.41,5.1,1.599,4.8,0.078,241.4027454
2019-11-06T13:33:03.617Z,66.402,-157.5417,16.5,3,0,3.1,0,474.7862763
2019-11-06T01:27:22.774Z,55.9499,-152.2012,10,3.4,1.264,2,0.055,205.1471576
2019-11-06T12:23:36.416Z,27.1393,54.895,10,4.4,2.482,1.9,0.126,1025.591232
2019-11-05T23:34:16.103Z,-13.7871,167.6919,10,5.1,1.716,1.9,0.08,972.0758142
2019-11-05T23:17:25.047Z,-13.8072,167.7259,10,5.9,1.707,1.9,0.08,976.3705609
2019-11-05T20:52:01.377Z,-57.9632,-9.2681,10,6.3,14.019,1.9,0.06,1723.159932
2019-11-06T07:40:43.270Z,27.259,54.9533,10,5.3,2.564,1.8,0.071,1035.794833
2019-11-06T00:39:09.364Z,-13.7315,167.8097,10,5.8,1.803,1.8,0.069,980.2779616
2019-11-06T13:10:15.130Z,19.3274994,-155.0501709,4.23,2.55,0.0743,1.6,0.2,69.5753902
2019-11-05T20:02:50.020Z,18.7723,-67.387,6,2.77,0.3986,1.58,0.22,149.8865443
2019-11-05T21:14:11.055Z,31.0696,-103.2524,5,2.5,0.055,1.4,0.074,197.0787566
2019-11-06T14:21:43.210Z,36.2261658,-120.3388367,6.26,2.62,0.2097,1.26,0.2,115.7108758
2019-11-06T13:49:32.660Z,19.1871662,-155.4380035,32.37,2.45,0.06303,0.8,0.36,64.14048909
2019-11-06T00:42:46.031Z,66.4019,-157.2387,2.5,3,0,0.7,0,461.8752165
2019-11-05T23:01:08.356Z,60.2483,-153.1728,135.6,3.3,0,0.7,0,264.5736837
2019-11-06T17:24:17.344Z,57.9559,-156.2882,136.2,3.4,0,0.6,0,219.9357925
2019-11-05T22:23:16.690Z,19.2126667,-155.4495,34.03,2.98,0.055,0.55,0.129,61.15672356
2019-11-05T19:52:01.370Z,35.6091667,-117.5475,9.41,2.84,0.02179,0.39,0.116,83.9429481
2019-11-06T07:13:35.320Z,34.2043333,-116.86,3.6,2.54,0.07666,0.34,0.134,75.78115788
2019-11-05T22:18:07.750Z,19.4619999,-155.5868378,-2.36,2.45,0.007096,0.32,0.67,33.28372561
2019-11-06T01:54:43.395Z,63.5621,-152.6812,1.3,2.7,0,0.3,0,274.8551502